"error_name","SurveyorID","Submission.Id","Orig.collection.date","Quad.Sub.Quad","StemTag","Species","QX","QY","DBH","Status.census.2","HOM","Status.2021","Crown.position","Percentage.of.crown.intact","Percentage.of.crown.living","Lean.angle.if.greater.than.15.degrees","Lianas","FAD","Wounded.main.stem","Canker..swelling..deformity","Rotting.trunk","Dead.with.resprout","Notes.2021"
"wounded_level_but_wrong_status_or_FAD","DJ","167d64db-bbfd-4cda-9622-8cd221e29428","2021-07-11","0425-22",42818,"acerru",4.4205,8.9799,10.3,"A",1.3,"AU",1,84,83,NA,0,"B",1,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","DJ","167d64db-bbfd-4cda-9622-8cd221e29428","2021-07-11","0425-22",42828,"tsugca",4.0227,0.9387,12.4,"A",1.3,"AU",1,74,70,NA,0,"B,I,LF",1,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","RB","fee82df3-b34d-4642-ba43-dc5a285cddb2","2021-07-08","0501-11",50002,"pinure",2.82549,3.36999,29.5,"A",1.3,"DS",4,78,0,NA,0,"U,AN,I",1,NA,NA,"False","Main stem covered in many tiny holes"
"wounded_level_but_wrong_status_or_FAD","RB","fee82df3-b34d-4642-ba43-dc5a285cddb2","2021-07-08","0501-11",50003,"pinure",1.97432,4.64114,34.9,"A",1.3,"DS",4,67,0,NA,0,"U,AN,I",1,NA,NA,"False","Main stem covered in many tiny holes"
"wounded_level_but_wrong_status_or_FAD","RB","fee82df3-b34d-4642-ba43-dc5a285cddb2","2021-07-08","0501-11",50011,"pinure",3.9491,7.21809,44,"A",1.3,"DS",4,90,0,NA,0,"U,AN,I",1,NA,NA,"False","Stem covered in many tiny holes"
"wounded_level_but_wrong_status_or_FAD","RB","fee82df3-b34d-4642-ba43-dc5a285cddb2","2021-07-08","0501-11",50016,"pinure",7.01899,8.66938,33.9,"A",1.3,"DS",3,85,0,NA,0,"U,I,AN",1,NA,NA,"False","Covered in many tiny holes"
"wounded_level_but_wrong_status_or_FAD","RB","fee82df3-b34d-4642-ba43-dc5a285cddb2","2021-07-08","0501-11",50019,"pinure",8.9153,5.07541,36.2,"A",1.3,"DS",4,80,0,NA,0,"U,AN,I",1,NA,NA,"False","Main stem covered in many tiny holes"
"wounded_level_but_wrong_status_or_FAD","RB","fee82df3-b34d-4642-ba43-dc5a285cddb2","2021-07-08","0501-11",50027,"pinure",7.39718,0.6574,35.2,"A",1.3,"DS",4,70,0,NA,0,"U,AN,I",1,NA,NA,"False","Main stem covered in many tiny holes"
"wounded_level_but_wrong_status_or_FAD","RB","fee82df3-b34d-4642-ba43-dc5a285cddb2","2021-07-08","0501-12",50048,"pinure",8.7192,9.5413,43.6,"A",1.3,"DS",4,80,0,NA,0,"U,I,AN",1,NA,NA,"False","Wood dust piles at tree base"
"wounded_level_but_wrong_status_or_FAD","RB","fee82df3-b34d-4642-ba43-dc5a285cddb2","2021-07-08","0501-12",50069,"pinure",4.97852,2.288,34,"A",1.3,"DS",4,65,0,NA,0,"U,AN,I",1,NA,NA,"False","Main stem covered in many tiny holes."
"wounded_level_but_wrong_status_or_FAD","RB","fee82df3-b34d-4642-ba43-dc5a285cddb2","2021-07-08","0501-21",50107,"pinure",2.0686,7.0213,28.9,"A",1.3,"DS",4,70,0,NA,0,"U,AN,I",1,NA,NA,"False","Main stem covered in many tiny holes"
"wounded_level_but_wrong_status_or_FAD","RB","fee82df3-b34d-4642-ba43-dc5a285cddb2","2021-07-08","0501-22",50075,"pinure",2.694,4.0879,37.1,"A",1.3,"DS",3,65,0,NA,0,"U,AN,I",1,NA,NA,"False","Main stem covered in many tiny holes"
"wounded_level_but_wrong_status_or_FAD","RB","fee82df3-b34d-4642-ba43-dc5a285cddb2","2021-07-08","0501-22",50087,"pinure",3.6255,9.3445,41.7,"A",1.3,"AU",4,90,3,NA,0,"U,AN,LF",1,NA,NA,"False","Foliage is almost completely gone small holes on main stem"
"wounded_level_but_wrong_status_or_FAD","RB","fee82df3-b34d-4642-ba43-dc5a285cddb2","2021-07-08","0501-22",50095,"pinure",8.4934,1.0508,29.1,"A",1.3,"DS",3,76,0,NA,0,"U,AN,I",1,NA,NA,"False","Main stem covered in many tiny holes. Small wood dust pies at tree base"
"wounded_level_but_wrong_status_or_FAD","JS","c0fe9bb6-e1e9-46b3-beca-91ae85952338","2021-07-10","0605-21",60540,"acerru",6.9754,8.1192,31.3,"A",1.3,"DS",4,80,0,NA,0,"R",1,NA,2,"False",NA
"wounded_level_but_wrong_status_or_FAD","NM","6feed65c-11fe-4c57-9962-d345b9b326a9","2021-07-12","0321-12",32066,"acerru",1.72771,2.8262,12.2,"A",1.3,"DS",2,2,0,NA,0,"B,DF",2,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","NM","b915b30b-5947-45a7-9e44-e9c2f5b186c6","2021-07-12","0322-11",32239,"acerru",0.52893,1.66076,15.5,"A",1.3,"AU",3,20,10,NA,0,"B",2,NA,NA,"False",NA
"dead_but_crown_living_not_zero","LM","6d417e0d-6ec3-4c97-894a-da7fbeb40bdd","2021-07-08","0210-11",20783,"tsugca",5.11362,1.57916,NA,"D",1.3,"DS",2,85,80,NA,0,NA,NA,NA,NA,"False",NA
"dead_but_crown_living_not_zero","LM","a7c5db7e-7b53-4c6a-a7d2-d8d41f7cdf2d","2021-07-08","0213-11",21042,"tsugca",2.77242,2.11889,18.9,"A",1.3,"DS",2,90,55,NA,0,"I,DF,OT",NA,NA,NA,"False",NA
"dead_but_crown_living_not_zero","AK","8da507fe-0720-47e3-ad20-592d93c78111","2021-07-10","0214-22",21102,"tsugca",4.1802,1.3965,31.1,"A",1.3,"DS",3,90,90,NA,0,"I,DF",NA,NA,NA,"False",NA
"dead_but_crown_living_not_zero","AK","8735a6be-8ee7-4508-aaea-3d49ae9229f1","2021-07-10","0220-21",21611,"pinust",5.2632,9.85363,18.1,"A",1.3,"DS",1,100,100,23,0,"DF",NA,NA,NA,"False",NA
"dead_but_crown_living_not_zero","JS","72b111ea-7363-43d9-a933-d0fe4cd490a6","2021-07-08","0601-21",60091,"pinure",9.584,4.47974,NA,"D",1.3,"DS",1,100,100,NA,0,"B",NA,NA,NA,"False",NA
"dead_but_crown_living_not_zero","RB","d564dac1-f056-46d4-a481-118bad5a1f2b","2021-07-13","0524-11",52276,"tsugca",6.73843,3.94093,21.9,"A",1.3,"DS",2,80,40,NA,0,"I,DF",NA,NA,NA,"False",NA
"dead_but_crown_living_not_zero","KN","b06bd8b1-cb31-49be-93ff-0fa3a36453d9","2021-07-13","0701-21",70102,"pinure",9.0353,6.43235,31.4,"A",1.3,"DS",4,98,2,NA,0,"BB,DF",NA,NA,NA,"False","Bark sloughs off easily, galleries visible"
"dead_but_crown_living_not_zero","KN","b06bd8b1-cb31-49be-93ff-0fa3a36453d9","2021-07-13","0701-21",70107,"pinure",6.9323,1.40992,32.8,"A",1.3,"DS",3,100,5,NA,0,"U",NA,NA,NA,"False","No exit holes"
"wounded_level_but_wrong_status_or_FAD","NM","719d3b2d-f29e-496d-9417-4129f63b74a1","2021-07-10","0309-12",31100,"acerru",8.98014,1.022,19.2,"A",1.45,"AU",1,5,5,NA,0,"B,F",2,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","NM","5b344df7-ea68-4d95-bdc6-5acc140d789b","2021-07-13","0324-11",32862,"amella",7.04321,7.51826,14.3,"A",1.3,"AU",1,35,15,NA,0,"B,DF",3,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","DJ","cd38cbd1-f3ec-47fc-8cfa-316e14be63be","2021-07-13","0625-21",62221,"tsugca",7.1181,8.16162,20.2,"A",1.3,"AU",1,70,45,NA,0,"B,I,LF",1,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","DJ","cd38cbd1-f3ec-47fc-8cfa-316e14be63be","2021-07-13","0625-21",62225,"tsugca",6.0627,5.60077,26.9,"A",1.3,"AU",2,50,35,NA,0,"B,I,LF",2,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","KN","b06bd8b1-cb31-49be-93ff-0fa3a36453d9","2021-07-13","0701-12",70034,"acerru",6.47379,8.2885,19.5,"A",1.3,"AU",3,80,80,NA,0,"B",3,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","KN","0b093687-eea8-4735-a2f3-96fa04f1c203","2021-07-13","0702-22",70189,"pinure",5.5314,4.6437,25,"A",1.3,"DS",1,0,0,NA,0,"BB,B",3,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","KN","6ca26fb4-35c9-47f5-9447-86d23a328b02","2021-07-13","0705-12",70415,"tsugca",8.36709,9.2814,20.3,"A",1.3,"AU",2,100,50,NA,0,"CR,I,LF",2,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","LM","ab8388be-71d2-4c5e-b501-f95a2420c485","2021-07-14","0707-12",70599,"tsugca",9.8654,8.3939,26,"A",1.3,"AU",3,90,90,17,NA,"I,LF",1,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","DJ","e3ce212f-ff4e-428e-ad11-1e1a5f9d9a17","2021-07-13","0801-11",80036,"tsugca",4.9322,2.11234,11.1,"A",1.3,"AU",1,78,71,NA,0,"B,I,LF",1,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","DJ","e3ce212f-ff4e-428e-ad11-1e1a5f9d9a17","2021-07-13","0801-12",80052,"acerru",7.25636,9.9178,14.2,"A",1.45,"AU",1,50,45,NA,0,"B",2,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","DJ","69a669e8-1605-4e3b-b2c1-505ad6df6655","2021-07-13","0802-12",80175,"piceab",5.09962,5.6665,11,"A",1.3,"DS",1,94,0,NA,0,"U,OT",1,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","DJ","69a669e8-1605-4e3b-b2c1-505ad6df6655","2021-07-13","0802-12",80187,"prunse",4.32221,1.4603,20.3,"A",1.3,"AU",2,78,72,NA,0,"B",1,NA,NA,"False",NA
