"gx"	"gy"	"quadrats"
"1"	20	20	"0101"
"2"	40	20	"0201"
"3"	60	20	"0301"
"4"	80	20	"0401"
"5"	100	20	"0501"
"6"	120	20	"0601"
"7"	140	20	"0701"
"8"	160	20	"0801"
"9"	180	20	"0901"
"10"	200	20	"1001"
"11"	220	20	"1101"
"12"	240	20	"1201"
"13"	260	20	"1301"
"14"	280	20	"1401"
"15"	300	20	"1501"
"16"	320	20	"1601"
"17"	340	20	"1701"
"18"	360	20	"1801"
"19"	380	20	"1901"
"20"	400	20	"2001"
"21"	420	20	"2101"
"22"	440	20	"2201"
"23"	460	20	"2301"
"24"	480	20	"2401"
"25"	500	20	"2501"
"26"	520	20	"2601"
"27"	540	20	"2701"
"28"	560	20	"2801"
"29"	580	20	"2901"
"30"	600	20	"3001"
"31"	620	20	"3101"
"32"	640	20	"3201"
"33"	660	20	"3301"
"34"	680	20	"3401"
"35"	700	20	"3501"
"36"	20	40	"0102"
"37"	40	40	"0202"
"38"	60	40	"0302"
"39"	80	40	"0402"
"40"	100	40	"0502"
"41"	120	40	"0602"
"42"	140	40	"0702"
"43"	160	40	"0802"
"44"	180	40	"0902"
"45"	200	40	"1002"
"46"	220	40	"1102"
"47"	240	40	"1202"
"48"	260	40	"1302"
"49"	280	40	"1402"
"50"	300	40	"1502"
"51"	320	40	"1602"
"52"	340	40	"1702"
"53"	360	40	"1802"
"54"	380	40	"1902"
"55"	400	40	"2002"
"56"	420	40	"2102"
"57"	440	40	"2202"
"58"	460	40	"2302"
"59"	480	40	"2402"
"60"	500	40	"2502"
"61"	520	40	"2602"
"62"	540	40	"2702"
"63"	560	40	"2802"
"64"	580	40	"2902"
"65"	600	40	"3002"
"66"	620	40	"3102"
"67"	640	40	"3202"
"68"	660	40	"3302"
"69"	680	40	"3402"
"70"	700	40	"3502"
"71"	20	60	"0103"
"72"	40	60	"0203"
"73"	60	60	"0303"
"74"	80	60	"0403"
"75"	100	60	"0503"
"76"	120	60	"0603"
"77"	140	60	"0703"
"78"	160	60	"0803"
"79"	180	60	"0903"
"80"	200	60	"1003"
"81"	220	60	"1103"
"82"	240	60	"1203"
"83"	260	60	"1303"
"84"	280	60	"1403"
"85"	300	60	"1503"
"86"	320	60	"1603"
"87"	340	60	"1703"
"88"	360	60	"1803"
"89"	380	60	"1903"
"90"	400	60	"2003"
"91"	420	60	"2103"
"92"	440	60	"2203"
"93"	460	60	"2303"
"94"	480	60	"2403"
"95"	500	60	"2503"
"96"	520	60	"2603"
"97"	540	60	"2703"
"98"	560	60	"2803"
"99"	580	60	"2903"
"100"	600	60	"3003"
"101"	620	60	"3103"
"102"	640	60	"3203"
"103"	660	60	"3303"
"104"	680	60	"3403"
"105"	700	60	"3503"
"106"	20	80	"0104"
"107"	40	80	"0204"
"108"	60	80	"0304"
"109"	80	80	"0404"
"110"	100	80	"0504"
"111"	120	80	"0604"
"112"	140	80	"0704"
"113"	160	80	"0804"
"114"	180	80	"0904"
"115"	200	80	"1004"
"116"	220	80	"1104"
"117"	240	80	"1204"
"118"	260	80	"1304"
"119"	280	80	"1404"
"120"	300	80	"1504"
"121"	320	80	"1604"
"122"	340	80	"1704"
"123"	360	80	"1804"
"124"	380	80	"1904"
"125"	400	80	"2004"
"126"	420	80	"2104"
"127"	440	80	"2204"
"128"	460	80	"2304"
"129"	480	80	"2404"
"130"	500	80	"2504"
"131"	520	80	"2604"
"132"	540	80	"2704"
"133"	560	80	"2804"
"134"	580	80	"2904"
"135"	600	80	"3004"
"136"	620	80	"3104"
"137"	640	80	"3204"
"138"	660	80	"3304"
"139"	680	80	"3404"
"140"	700	80	"3504"
"141"	20	100	"0105"
"142"	40	100	"0205"
"143"	60	100	"0305"
"144"	80	100	"0405"
"145"	100	100	"0505"
"146"	120	100	"0605"
"147"	140	100	"0705"
"148"	160	100	"0805"
"149"	180	100	"0905"
"150"	200	100	"1005"
"151"	220	100	"1105"
"152"	240	100	"1205"
"153"	260	100	"1305"
"154"	280	100	"1405"
"155"	300	100	"1505"
"156"	320	100	"1605"
"157"	340	100	"1705"
"158"	360	100	"1805"
"159"	380	100	"1905"
"160"	400	100	"2005"
"161"	420	100	"2105"
"162"	440	100	"2205"
"163"	460	100	"2305"
"164"	480	100	"2405"
"165"	500	100	"2505"
"166"	520	100	"2605"
"167"	540	100	"2705"
"168"	560	100	"2805"
"169"	580	100	"2905"
"170"	600	100	"3005"
"171"	620	100	"3105"
"172"	640	100	"3205"
"173"	660	100	"3305"
"174"	680	100	"3405"
"175"	700	100	"3505"
"176"	20	120	"0106"
"177"	40	120	"0206"
"178"	60	120	"0306"
"179"	80	120	"0406"
"180"	100	120	"0506"
"181"	120	120	"0606"
"182"	140	120	"0706"
"183"	160	120	"0806"
"184"	180	120	"0906"
"185"	200	120	"1006"
"186"	220	120	"1106"
"187"	240	120	"1206"
"188"	260	120	"1306"
"189"	280	120	"1406"
"190"	300	120	"1506"
"191"	320	120	"1606"
"192"	340	120	"1706"
"193"	360	120	"1806"
"194"	380	120	"1906"
"195"	400	120	"2006"
"196"	420	120	"2106"
"197"	440	120	"2206"
"198"	460	120	"2306"
"199"	480	120	"2406"
"200"	500	120	"2506"
"201"	520	120	"2606"
"202"	540	120	"2706"
"203"	560	120	"2806"
"204"	580	120	"2906"
"205"	600	120	"3006"
"206"	620	120	"3106"
"207"	640	120	"3206"
"208"	660	120	"3306"
"209"	680	120	"3406"
"210"	700	120	"3506"
"211"	20	140	"0107"
"212"	40	140	"0207"
"213"	60	140	"0307"
"214"	80	140	"0407"
"215"	100	140	"0507"
"216"	120	140	"0607"
"217"	140	140	"0707"
"218"	160	140	"0807"
"219"	180	140	"0907"
"220"	200	140	"1007"
"221"	220	140	"1107"
"222"	240	140	"1207"
"223"	260	140	"1307"
"224"	280	140	"1407"
"225"	300	140	"1507"
"226"	320	140	"1607"
"227"	340	140	"1707"
"228"	360	140	"1807"
"229"	380	140	"1907"
"230"	400	140	"2007"
"231"	420	140	"2107"
"232"	440	140	"2207"
"233"	460	140	"2307"
"234"	480	140	"2407"
"235"	500	140	"2507"
"236"	520	140	"2607"
"237"	540	140	"2707"
"238"	560	140	"2807"
"239"	580	140	"2907"
"240"	600	140	"3007"
"241"	620	140	"3107"
"242"	640	140	"3207"
"243"	660	140	"3307"
"244"	680	140	"3407"
"245"	700	140	"3507"
"246"	20	160	"0108"
"247"	40	160	"0208"
"248"	60	160	"0308"
"249"	80	160	"0408"
"250"	100	160	"0508"
"251"	120	160	"0608"
"252"	140	160	"0708"
"253"	160	160	"0808"
"254"	180	160	"0908"
"255"	200	160	"1008"
"256"	220	160	"1108"
"257"	240	160	"1208"
"258"	260	160	"1308"
"259"	280	160	"1408"
"260"	300	160	"1508"
"261"	320	160	"1608"
"262"	340	160	"1708"
"263"	360	160	"1808"
"264"	380	160	"1908"
"265"	400	160	"2008"
"266"	420	160	"2108"
"267"	440	160	"2208"
"268"	460	160	"2308"
"269"	480	160	"2408"
"270"	500	160	"2508"
"271"	520	160	"2608"
"272"	540	160	"2708"
"273"	560	160	"2808"
"274"	580	160	"2908"
"275"	600	160	"3008"
"276"	620	160	"3108"
"277"	640	160	"3208"
"278"	660	160	"3308"
"279"	680	160	"3408"
"280"	700	160	"3508"
"281"	20	180	"0109"
"282"	40	180	"0209"
"283"	60	180	"0309"
"284"	80	180	"0409"
"285"	100	180	"0509"
"286"	120	180	"0609"
"287"	140	180	"0709"
"288"	160	180	"0809"
"289"	180	180	"0909"
"290"	200	180	"1009"
"291"	220	180	"1109"
"292"	240	180	"1209"
"293"	260	180	"1309"
"294"	280	180	"1409"
"295"	300	180	"1509"
"296"	320	180	"1609"
"297"	340	180	"1709"
"298"	360	180	"1809"
"299"	380	180	"1909"
"300"	400	180	"2009"
"301"	420	180	"2109"
"302"	440	180	"2209"
"303"	460	180	"2309"
"304"	480	180	"2409"
"305"	500	180	"2509"
"306"	520	180	"2609"
"307"	540	180	"2709"
"308"	560	180	"2809"
"309"	580	180	"2909"
"310"	600	180	"3009"
"311"	620	180	"3109"
"312"	640	180	"3209"
"313"	660	180	"3309"
"314"	680	180	"3409"
"315"	700	180	"3509"
"316"	20	200	"0110"
"317"	40	200	"0210"
"318"	60	200	"0310"
"319"	80	200	"0410"
"320"	100	200	"0510"
"321"	120	200	"0610"
"322"	140	200	"0710"
"323"	160	200	"0810"
"324"	180	200	"0910"
"325"	200	200	"1010"
"326"	220	200	"1110"
"327"	240	200	"1210"
"328"	260	200	"1310"
"329"	280	200	"1410"
"330"	300	200	"1510"
"331"	320	200	"1610"
"332"	340	200	"1710"
"333"	360	200	"1810"
"334"	380	200	"1910"
"335"	400	200	"2010"
"336"	420	200	"2110"
"337"	440	200	"2210"
"338"	460	200	"2310"
"339"	480	200	"2410"
"340"	500	200	"2510"
