"gx"	"gy"	"quadrats"
"341"	520	200	"2610"
"342"	540	200	"2710"
"343"	560	200	"2810"
"344"	580	200	"2910"
"345"	600	200	"3010"
"346"	620	200	"3110"
"347"	640	200	"3210"
"348"	660	200	"3310"
"349"	680	200	"3410"
"350"	700	200	"3510"
"351"	20	220	"0111"
"352"	40	220	"0211"
"353"	60	220	"0311"
"354"	80	220	"0411"
"355"	100	220	"0511"
"356"	120	220	"0611"
"357"	140	220	"0711"
"358"	160	220	"0811"
"359"	180	220	"0911"
"360"	200	220	"1011"
"361"	220	220	"1111"
"362"	240	220	"1211"
"363"	260	220	"1311"
"364"	280	220	"1411"
"365"	300	220	"1511"
"366"	320	220	"1611"
"367"	340	220	"1711"
"368"	360	220	"1811"
"369"	380	220	"1911"
"370"	400	220	"2011"
"371"	420	220	"2111"
"372"	440	220	"2211"
"373"	460	220	"2311"
"374"	480	220	"2411"
"375"	500	220	"2511"
"376"	520	220	"2611"
"377"	540	220	"2711"
"378"	560	220	"2811"
"379"	580	220	"2911"
"380"	600	220	"3011"
"381"	620	220	"3111"
"382"	640	220	"3211"
"383"	660	220	"3311"
"384"	680	220	"3411"
"385"	700	220	"3511"
"386"	20	240	"0112"
"387"	40	240	"0212"
"388"	60	240	"0312"
"389"	80	240	"0412"
"390"	100	240	"0512"
"391"	120	240	"0612"
"392"	140	240	"0712"
"393"	160	240	"0812"
"394"	180	240	"0912"
"395"	200	240	"1012"
"396"	220	240	"1112"
"397"	240	240	"1212"
"398"	260	240	"1312"
"399"	280	240	"1412"
"400"	300	240	"1512"
"401"	320	240	"1612"
"402"	340	240	"1712"
"403"	360	240	"1812"
"404"	380	240	"1912"
"405"	400	240	"2012"
"406"	420	240	"2112"
"407"	440	240	"2212"
"408"	460	240	"2312"
"409"	480	240	"2412"
"410"	500	240	"2512"
"411"	520	240	"2612"
"412"	540	240	"2712"
"413"	560	240	"2812"
"414"	580	240	"2912"
"415"	600	240	"3012"
"416"	620	240	"3112"
"417"	640	240	"3212"
"418"	660	240	"3312"
"419"	680	240	"3412"
"420"	700	240	"3512"
"421"	20	260	"0113"
"422"	40	260	"0213"
"423"	60	260	"0313"
"424"	80	260	"0413"
"425"	100	260	"0513"
"426"	120	260	"0613"
"427"	140	260	"0713"
"428"	160	260	"0813"
"429"	180	260	"0913"
"430"	200	260	"1013"
"431"	220	260	"1113"
"432"	240	260	"1213"
"433"	260	260	"1313"
"434"	280	260	"1413"
"435"	300	260	"1513"
"436"	320	260	"1613"
"437"	340	260	"1713"
"438"	360	260	"1813"
"439"	380	260	"1913"
"440"	400	260	"2013"
"441"	420	260	"2113"
"442"	440	260	"2213"
"443"	460	260	"2313"
"444"	480	260	"2413"
"445"	500	260	"2513"
"446"	520	260	"2613"
"447"	540	260	"2713"
"448"	560	260	"2813"
"449"	580	260	"2913"
"450"	600	260	"3013"
"451"	620	260	"3113"
"452"	640	260	"3213"
"453"	660	260	"3313"
"454"	680	260	"3413"
"455"	700	260	"3513"
"456"	20	280	"0114"
"457"	40	280	"0214"
"458"	60	280	"0314"
"459"	80	280	"0414"
"460"	100	280	"0514"
"461"	120	280	"0614"
"462"	140	280	"0714"
"463"	160	280	"0814"
"464"	180	280	"0914"
"465"	200	280	"1014"
"466"	220	280	"1114"
"467"	240	280	"1214"
"468"	260	280	"1314"
"469"	280	280	"1414"
"470"	300	280	"1514"
"471"	320	280	"1614"
"472"	340	280	"1714"
"473"	360	280	"1814"
"474"	380	280	"1914"
"475"	400	280	"2014"
"476"	420	280	"2114"
"477"	440	280	"2214"
"478"	460	280	"2314"
"479"	480	280	"2414"
"480"	500	280	"2514"
"481"	520	280	"2614"
"482"	540	280	"2714"
"483"	560	280	"2814"
"484"	580	280	"2914"
"485"	600	280	"3014"
"486"	620	280	"3114"
"487"	640	280	"3214"
"488"	660	280	"3314"
"489"	680	280	"3414"
"490"	700	280	"3514"
"491"	20	300	"0115"
"492"	40	300	"0215"
"493"	60	300	"0315"
"494"	80	300	"0415"
"495"	100	300	"0515"
"496"	120	300	"0615"
"497"	140	300	"0715"
"498"	160	300	"0815"
"499"	180	300	"0915"
"500"	200	300	"1015"
"501"	220	300	"1115"
"502"	240	300	"1215"
"503"	260	300	"1315"
"504"	280	300	"1415"
"505"	300	300	"1515"
"506"	320	300	"1615"
"507"	340	300	"1715"
"508"	360	300	"1815"
"509"	380	300	"1915"
"510"	400	300	"2015"
"511"	420	300	"2115"
"512"	440	300	"2215"
"513"	460	300	"2315"
"514"	480	300	"2415"
"515"	500	300	"2515"
"516"	520	300	"2615"
"517"	540	300	"2715"
"518"	560	300	"2815"
"519"	580	300	"2915"
"520"	600	300	"3015"
"521"	620	300	"3115"
"522"	640	300	"3215"
"523"	660	300	"3315"
"524"	680	300	"3415"
"525"	700	300	"3515"
"526"	20	320	"0116"
"527"	40	320	"0216"
"528"	60	320	"0316"
"529"	80	320	"0416"
"530"	100	320	"0516"
"531"	120	320	"0616"
"532"	140	320	"0716"
"533"	160	320	"0816"
"534"	180	320	"0916"
"535"	200	320	"1016"
"536"	220	320	"1116"
"537"	240	320	"1216"
"538"	260	320	"1316"
"539"	280	320	"1416"
"540"	300	320	"1516"
"541"	320	320	"1616"
"542"	340	320	"1716"
"543"	360	320	"1816"
"544"	380	320	"1916"
"545"	400	320	"2016"
"546"	420	320	"2116"
"547"	440	320	"2216"
"548"	460	320	"2316"
"549"	480	320	"2416"
"550"	500	320	"2516"
"551"	520	320	"2616"
"552"	540	320	"2716"
"553"	560	320	"2816"
"554"	580	320	"2916"
"555"	600	320	"3016"
"556"	620	320	"3116"
"557"	640	320	"3216"
"558"	660	320	"3316"
"559"	680	320	"3416"
"560"	700	320	"3516"
"561"	20	340	"0117"
"562"	40	340	"0217"
"563"	60	340	"0317"
"564"	80	340	"0417"
"565"	100	340	"0517"
"566"	120	340	"0617"
"567"	140	340	"0717"
"568"	160	340	"0817"
"569"	180	340	"0917"
"570"	200	340	"1017"
"571"	220	340	"1117"
"572"	240	340	"1217"
"573"	260	340	"1317"
"574"	280	340	"1417"
"575"	300	340	"1517"
"576"	320	340	"1617"
"577"	340	340	"1717"
"578"	360	340	"1817"
"579"	380	340	"1917"
"580"	400	340	"2017"
"581"	420	340	"2117"
"582"	440	340	"2217"
"583"	460	340	"2317"
"584"	480	340	"2417"
"585"	500	340	"2517"
"586"	520	340	"2617"
"587"	540	340	"2717"
"588"	560	340	"2817"
"589"	580	340	"2917"
"590"	600	340	"3017"
"591"	620	340	"3117"
"592"	640	340	"3217"
"593"	660	340	"3317"
"594"	680	340	"3417"
"595"	700	340	"3517"
"596"	20	360	"0118"
"597"	40	360	"0218"
"598"	60	360	"0318"
"599"	80	360	"0418"
"600"	100	360	"0518"
"601"	120	360	"0618"
"602"	140	360	"0718"
"603"	160	360	"0818"
"604"	180	360	"0918"
"605"	200	360	"1018"
"606"	220	360	"1118"
"607"	240	360	"1218"
"608"	260	360	"1318"
"609"	280	360	"1418"
"610"	300	360	"1518"
"611"	320	360	"1618"
"612"	340	360	"1718"
"613"	360	360	"1818"
"614"	380	360	"1918"
"615"	400	360	"2018"
"616"	420	360	"2118"
"617"	440	360	"2218"
"618"	460	360	"2318"
"619"	480	360	"2418"
"620"	500	360	"2518"
"621"	520	360	"2618"
"622"	540	360	"2718"
"623"	560	360	"2818"
"624"	580	360	"2918"
"625"	600	360	"3018"
"626"	620	360	"3118"
"627"	640	360	"3218"
"628"	660	360	"3318"
"629"	680	360	"3418"
"630"	700	360	"3518"
"631"	20	380	"0119"
"632"	40	380	"0219"
"633"	60	380	"0319"
"634"	80	380	"0419"
"635"	100	380	"0519"
"636"	120	380	"0619"
"637"	140	380	"0719"
"638"	160	380	"0819"
"639"	180	380	"0919"
"640"	200	380	"1019"
"641"	220	380	"1119"
"642"	240	380	"1219"
"643"	260	380	"1319"
"644"	280	380	"1419"
"645"	300	380	"1519"
"646"	320	380	"1619"
"647"	340	380	"1719"
"648"	360	380	"1819"
"649"	380	380	"1919"
"650"	400	380	"2019"
"651"	420	380	"2119"
"652"	440	380	"2219"
"653"	460	380	"2319"
"654"	480	380	"2419"
"655"	500	380	"2519"
"656"	520	380	"2619"
"657"	540	380	"2719"
"658"	560	380	"2819"
"659"	580	380	"2919"
"660"	600	380	"3019"
"661"	620	380	"3119"
"662"	640	380	"3219"
"663"	660	380	"3319"
"664"	680	380	"3419"
"665"	700	380	"3519"
"666"	20	400	"0120"
"667"	40	400	"0220"
"668"	60	400	"0320"
"669"	80	400	"0420"
"670"	100	400	"0520"
"671"	120	400	"0620"
"672"	140	400	"0720"
"673"	160	400	"0820"
"674"	180	400	"0920"
"675"	200	400	"1020"
"676"	220	400	"1120"
"677"	240	400	"1220"
"678"	260	400	"1320"
"679"	280	400	"1420"
"680"	300	400	"1520"
"681"	320	400	"1620"
"682"	340	400	"1720"
"683"	360	400	"1820"
"684"	380	400	"1920"
"685"	400	400	"2020"
"686"	420	400	"2120"
"687"	440	400	"2220"
"688"	460	400	"2320"
"689"	480	400	"2420"
"690"	500	400	"2520"
"691"	520	400	"2620"
"692"	540	400	"2720"
"693"	560	400	"2820"
"694"	580	400	"2920"
"695"	600	400	"3020"
"696"	620	400	"3120"
"697"	640	400	"3220"
"698"	660	400	"3320"
"699"	680	400	"3420"
"700"	700	400	"3520"
"701"	20	420	"0121"
"702"	40	420	"0221"
"703"	60	420	"0321"
"704"	80	420	"0421"
"705"	100	420	"0521"
"706"	120	420	"0621"
"707"	140	420	"0721"
"708"	160	420	"0821"
"709"	180	420	"0921"
"710"	200	420	"1021"
"711"	220	420	"1121"
"712"	240	420	"1221"
"713"	260	420	"1321"
"714"	280	420	"1421"
"715"	300	420	"1521"
"716"	320	420	"1621"
"717"	340	420	"1721"
"718"	360	420	"1821"
"719"	380	420	"1921"
"720"	400	420	"2021"
"721"	420	420	"2121"
"722"	440	420	"2221"
"723"	460	420	"2321"
"724"	480	420	"2421"
"725"	500	420	"2521"
"726"	520	420	"2621"
"727"	540	420	"2721"
"728"	560	420	"2821"
"729"	580	420	"2921"
"730"	600	420	"3021"
"731"	620	420	"3121"
"732"	640	420	"3221"
"733"	660	420	"3321"
"734"	680	420	"3421"
"735"	700	420	"3521"
"736"	20	440	"0122"
"737"	40	440	"0222"
"738"	60	440	"0322"
"739"	80	440	"0422"
"740"	100	440	"0522"
"741"	120	440	"0622"
"742"	140	440	"0722"
"743"	160	440	"0822"
"744"	180	440	"0922"
"745"	200	440	"1022"
"746"	220	440	"1122"
"747"	240	440	"1222"
"748"	260	440	"1322"
"749"	280	440	"1422"
"750"	300	440	"1522"
"751"	320	440	"1622"
"752"	340	440	"1722"
"753"	360	440	"1822"
"754"	380	440	"1922"
"755"	400	440	"2022"
"756"	420	440	"2122"
"757"	440	440	"2222"
"758"	460	440	"2322"
"759"	480	440	"2422"
"760"	500	440	"2522"
"761"	520	440	"2622"
"762"	540	440	"2722"
"763"	560	440	"2822"
"764"	580	440	"2922"
"765"	600	440	"3022"
"766"	620	440	"3122"
"767"	640	440	"3222"
"768"	660	440	"3322"
"769"	680	440	"3422"
"770"	700	440	"3522"
"771"	20	460	"0123"
"772"	40	460	"0223"
"773"	60	460	"0323"
"774"	80	460	"0423"
"775"	100	460	"0523"
"776"	120	460	"0623"
"777"	140	460	"0723"
"778"	160	460	"0823"
"779"	180	460	"0923"
"780"	200	460	"1023"
"781"	220	460	"1123"
"782"	240	460	"1223"
"783"	260	460	"1323"
"784"	280	460	"1423"
"785"	300	460	"1523"
"786"	320	460	"1623"
"787"	340	460	"1723"
"788"	360	460	"1823"
"789"	380	460	"1923"
"790"	400	460	"2023"
"791"	420	460	"2123"
"792"	440	460	"2223"
"793"	460	460	"2323"
"794"	480	460	"2423"
"795"	500	460	"2523"
"796"	520	460	"2623"
"797"	540	460	"2723"
"798"	560	460	"2823"
"799"	580	460	"2923"
"800"	600	460	"3023"
"801"	620	460	"3123"
"802"	640	460	"3223"
"803"	660	460	"3323"
"804"	680	460	"3423"
"805"	700	460	"3523"
"806"	20	480	"0124"
"807"	40	480	"0224"
"808"	60	480	"0324"
"809"	80	480	"0424"
"810"	100	480	"0524"
"811"	120	480	"0624"
"812"	140	480	"0724"
"813"	160	480	"0824"
"814"	180	480	"0924"
"815"	200	480	"1024"
"816"	220	480	"1124"
"817"	240	480	"1224"
"818"	260	480	"1324"
"819"	280	480	"1424"
"820"	300	480	"1524"
"821"	320	480	"1624"
"822"	340	480	"1724"
"823"	360	480	"1824"
"824"	380	480	"1924"
"825"	400	480	"2024"
"826"	420	480	"2124"
"827"	440	480	"2224"
"828"	460	480	"2324"
"829"	480	480	"2424"
"830"	500	480	"2524"
"831"	520	480	"2624"
"832"	540	480	"2724"
"833"	560	480	"2824"
"834"	580	480	"2924"
"835"	600	480	"3024"
"836"	620	480	"3124"
"837"	640	480	"3224"
"838"	660	480	"3324"
"839"	680	480	"3424"
"840"	700	480	"3524"
"841"	20	500	"0125"
"842"	40	500	"0225"
"843"	60	500	"0325"
"844"	80	500	"0425"
"845"	100	500	"0525"
"846"	120	500	"0625"
"847"	140	500	"0725"
"848"	160	500	"0825"
"849"	180	500	"0925"
"850"	200	500	"1025"
"851"	220	500	"1125"
"852"	240	500	"1225"
"853"	260	500	"1325"
"854"	280	500	"1425"
"855"	300	500	"1525"
"856"	320	500	"1625"
"857"	340	500	"1725"
"858"	360	500	"1825"
"859"	380	500	"1925"
"860"	400	500	"2025"
"861"	420	500	"2125"
"862"	440	500	"2225"
"863"	460	500	"2325"
"864"	480	500	"2425"
"865"	500	500	"2525"
"866"	520	500	"2625"
"867"	540	500	"2725"
"868"	560	500	"2825"
"869"	580	500	"2925"
"870"	600	500	"3025"
"871"	620	500	"3125"
"872"	640	500	"3225"
"873"	660	500	"3325"
"874"	680	500	"3425"
"875"	700	500	"3525"
